StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      109,      00,   189501,   6.31,     35,   2.32,   2.32,   6.96,   2.32,      0,    667,   1.61, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   26.6,   43.5,
      106,      00,   189501,   2.25,   39.2,    .44,    .44,   1.33,    .44,      8,    688,    .12, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   27.4,   51.1,
      107,      00,   189501,   1.84,   30.3,   1.84,   1.84,   5.53,   1.84,      0,    809,   1.44, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   19.7,   40.8,
      102,      00,   189501,    1.3,    6.9,    .28,    .28,    .85,    .28,      0,   1630,     .5, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   -3.3,   17.2,
      105,      00,   189501,   1.47,    9.5,   1.59,   1.59,   4.78,   1.59,      0,   1665,    1.8, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   -1.6,   20.4,
      101,      00,   189501,   3.61,   18.8,     .3,     .3,     .9,     .3,      0,   1280,    .58, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,    9.3,   28.3,
      104,      00,   189501,   6.53,   43.7,   1.26,   1.26,   3.77,   1.26,     29,    615,   1.72, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   33.7,   53.6,
      103,      00,   189501,   3.58,   24.6,    .36,    .36,   1.08,    .36,      0,   1325,    .55, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   14.9,   34.2,
      108,      00,   189501,   6.26,   24.4,    .75,    .75,   2.24,    .75,      0,    967,   1.09, -99.99, -99.99, -99.99, -99.99, -99.99, -99.99,   17.1,   31.6,
      107,      00,   189502,   1.13,   30.3,   2.73,   2.73,   3.24,   2.73,      0,    749,    .43,   1.22, -99.99, -99.99, -99.99, -99.99, -99.99,   17.6,     43,
      106,      00,   189502,   1.67,   34.8,    .49,    .49,    .26,    .49,      0,    759,   -.62,   -.34, -99.99, -99.99, -99.99, -99.99, -99.99,   23.7,     46,
      109,      00,   189502,   2.07,   40.1,   2.12,   2.12,    .12,   2.11,      0,    474,    -.2,   1.11, -99.99, -99.99, -99.99, -99.99, -99.99,   29.2,   50.9,
      102,      00,   189502,    .56,    9.7,   -.29,   -.29,   -.88,   -.29,      0,   1447,  -1.25,   -.48, -99.99, -99.99, -99.99, -99.99, -99.99,   -1.8,   21.2,
      103,      00,   189502,    .81,   21.9,   -.89,   -.89,  -2.66,   -.89,      0,   1264,  -2.59,   -.76, -99.99, -99.99, -99.99, -99.99, -99.99,   11.6,   32.3,
      108,      00,   189502,   1.56,   29.8,   -.94,   -.94,  -2.83,   -.94,      0,    713,  -1.43,   -.08, -99.99, -99.99, -99.99, -99.99, -99.99,   21.3,   38.3,
      101,      00,   189502,    1.4,   15.6,   -.85,   -.85,  -2.55,   -.85,      0,   1272,  -1.88,   -.59, -99.99, -99.99, -99.99, -99.99, -99.99,    5.4,   25.9,
      105,      00,   189502,    .91,   13.8,   2.39,   2.39,   2.88,   2.39,      0,   1386,    .55,   1.67, -99.99, -99.99, -99.99, -99.99, -99.99,    2.3,   25.3,
      104,      00,   189502,   2.76,   37.3,    .83,    .83,   -.89,    .21,      5,    718,   -.85,    .75, -99.99, -99.99, -99.99, -99.99, -99.99,   26.6,     48,
      107,      00,   189503,    .69,   40.8,   2.54,   2.54,    .25,   2.54,      0,    598,   -.73,   -.25,    .66, -99.99, -99.99, -99.99, -99.99,   26.8,   54.9,
      101,      00,   189503,   2.14,   27.6,  -1.38,  -1.38,  -1.85,  -1.38,      0,   1010,  -1.25,  -2.35,  -1.42, -99.99, -99.99, -99.99, -99.99,   17.8,   37.4,
      105,      00,   189503,    .97,   28.2,   2.98,   2.98,   2.51,   2.98,      0,   1073,   -.55,   -.16,   1.05, -99.99, -99.99, -99.99, -99.99,   15.6,   40.8,
      102,      00,   189503,    .56,     26,     -1,     -1,  -2.22,     -1,      0,   1139,     -2,  -2.23,  -1.72, -99.99, -99.99, -99.99, -99.99,   13.7,   38.2,
      106,      00,   189503,   2.13,   53.1,   -.25,   -.25,   -.74,   -.25,     34,    312,   -.58,    -.8,   -.58, -99.99, -99.99, -99.99, -99.99,   40.2,     66,
      104,      00,   189503,   5.28,   53.1,   1.05,   1.05,    .91,    .89,     41,    369,    .49,   -.19,     .8, -99.99, -99.99, -99.99, -99.99,   41.9,   64.3,
      108,      00,   189503,   2.65,   34.3,   -1.1,   -1.1,   -.76,   -1.1,      0,    716,   -.47,  -1.47,   -.31, -99.99, -99.99, -99.99, -99.99,   23.9,   44.6,
      109,      00,   189503,   1.82,     44,   1.81,   1.81,   -.27,   1.61,      1,    499,   -.17,   -.35,    .82, -99.99, -99.99, -99.99, -99.99,   32.5,   55.4,
      103,      00,   189503,   2.64,   40.2,  -1.29,  -1.29,  -1.47,  -1.29,      1,    846,   -.88,  -2.09,  -1.22, -99.99, -99.99, -99.99, -99.99,   29.1,   51.4,
      101,      00,   189504,   3.66,   43.5,   -1.1,   -1.1,     .4,   -.79,      0,    566,    .26,   -.68,  -1.44, -99.99, -99.99, -99.99, -99.99,     33,   54.1,
      103,      00,   189504,   2.56,     55,  -1.86,  -1.86,  -2.13,  -1.86,      6,    356,  -1.18,  -1.43,  -2.75, -99.99, -99.99, -99.99, -99.99,   42.9,   67.1,
      109,      00,   189504,    .99,   51.1,   1.42,   1.42,   -.61,    .88,      6,    347,   -.27,   -.33,   -.48, -99.99, -99.99, -99.99, -99.99,   38.1,   64.1,
      106,      00,   189504,    1.7,   63.4,   -.95,   -.95,  -2.18,   -.95,     90,     78,  -1.57,  -1.38,  -1.42, -99.99, -99.99, -99.99, -99.99,   49.3,   77.5,
      105,      00,   189504,   1.65,   47.3,   2.63,   2.63,   -.13,   2.51,      7,    463,   -.18,    -.5,   -.31, -99.99, -99.99, -99.99, -99.99,   32.8,   61.9,
      107,      00,   189504,    .39,     51,   1.82,   1.82,  -1.36,   1.18,      3,    337,  -2.24,  -1.63,   -.93, -99.99, -99.99, -99.99, -99.99,   35.4,   66.7,
      102,      00,   189504,   1.62,   47.8,  -1.82,  -1.82,  -2.76,  -1.82,      2,    505,  -1.22,  -1.99,  -2.29, -99.99, -99.99, -99.99, -99.99,   34.9,   60.8,
      108,      00,   189504,   1.96,   44.3,  -1.26,  -1.26,   -.81,  -1.26,      0,    490,   -.52,   -.67,  -1.54, -99.99, -99.99, -99.99, -99.99,   31.3,   57.3,
      104,      00,   189504,   5.05,   61.1,   1.57,   1.57,   1.87,   1.57,     59,    154,   1.04,    .97,    .35, -99.99, -99.99, -99.99, -99.99,   49.7,   72.5,
      105,      00,   189505,    2.1,   51.9,   2.27,   2.27,   -.25,   1.99,     31,    343,   -.56,   -.57,   -.74, -99.99, -99.99, -99.99, -99.99,   38.4,   65.4,
      104,      00,   189505,   4.31,   68.3,    1.7,    1.7,    .89,    1.7,    177,     51,    .42,    .97,    .95, -99.99, -99.99, -99.99, -99.99,   57.3,   79.2,
      108,      00,   189505,   3.18,   49.4,    .69,    .69,   2.07,    .69,      1,    366,    1.1,    .52,   -.01, -99.99, -99.99, -99.99, -99.99,   37.1,   61.6,
      102,      00,   189505,   3.36,   56.8,  -1.75,  -1.75,   -.35,  -1.75,     31,    256,   -.06,   -.74,  -1.37, -99.99, -99.99, -99.99, -99.99,   43.5,     70,
      101,      00,   189505,   2.66,   57.1,  -1.64,  -1.64,  -1.95,  -1.64,     17,    211,   -.86,   -.42,   -1.1, -99.99, -99.99, -99.99, -99.99,   44.7,   69.5,
      109,      00,   189505,   1.39,   58.8,   1.77,   1.77,   1.47,   1.77,     42,    167,    .91,    .26,   -.04, -99.99, -99.99, -99.99, -99.99,   45.3,   72.3,
      107,      00,   189505,   1.75,   58.4,   2.84,   2.84,   3.62,   2.84,     15,    222,   1.38,    .12,   -.33, -99.99, -99.99, -99.99, -99.99,   43.9,   72.9,
      103,      00,   189505,   2.77,     63,  -2.31,  -2.31,  -1.92,  -2.31,     69,    155,  -1.13,  -1.57,  -1.66, -99.99, -99.99, -99.99, -99.99,   50.6,   75.4,
      106,      00,   189505,   4.14,   69.2,    .06,    .06,    .17,   -.79,    200,     18,     .2,   -.76,   -.88, -99.99, -99.99, -99.99, -99.99,   56.9,   81.4,
      101,      00,   189506,   3.29,   67.2,  -2.01,  -2.01,  -1.63,  -2.01,    141,     17,   -.48,   -.97,   -.65,   -1.4, -99.99, -99.99, -99.99,     55,   79.3,
      102,      00,   189506,   3.69,   65.8,   -1.8,   -1.8,   -.69,   -1.8,    129,     51,    -.3,   -.33,   -.76,  -1.31, -99.99, -99.99, -99.99,   52.9,   78.6,
      109,      00,   189506,    .06,   66.2,   -.04,   1.54,   -.13,   1.41,    101,     62,  -1.36,    .24,   -.14,    .69, -99.99, -99.99, -99.99,   50.7,   81.8,
      103,      00,   189506,    3.6,   73.5,  -2.45,  -2.45,  -1.13,  -2.45,    249,      9,   -.53,  -1.08,  -1.42,  -1.71, -99.99, -99.99, -99.99,   60.9,   86.1,
